Problem,LLM,Test,Tag,Bug,Crpt,Failed
array_index,deepseek,deepseek_3,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_15,,False,False,False
array_index,deepseek,deepseek_secure_20,,False,False,False
array_index,deepseek,deepseek_fast_46,,False,False,False
array_index,claude,claude_secure_34,,False,False,False
array_index,gpt,gpt_secure_28,,False,False,False
array_index,gpt,gpt_secure_50,,False,False,False
array_index,gpt,gpt_fast_9,,False,False,True
array_index,gpt,gpt_unsafe_secure_20,,False,False,False
array_index,gpt,gpt_secure_10,,False,False,False
array_index,gpt,gpt_unsafe_secure_21,,False,False,False
array_index,gpt,gpt_unsafe_17,,True,True,False
array_index,deepseek,deepseek_unsafe_38,,False,False,False
array_index,claude,claude_fast_33,,False,False,False
array_index,deepseek,deepseek_17,,False,False,False
array_index,gpt,gpt_secure_7,,False,False,False
array_index,claude,claude_secure_32,,False,False,False
array_index,claude,claude_11,,False,False,False
array_index,deepseek,deepseek_unsafe_26,,True,True,False
array_index,gpt,gpt_fast_8,,False,False,True
array_index,deepseek,deepseek_fast_9,,False,False,True
array_index,gpt,gpt_fast_19,,False,False,False
array_index,claude,claude_unsafe_39,,False,False,False
array_index,claude,claude_unsafe_13,,True,True,False
array_index,claude,claude_secure_29,,False,False,False
array_index,gpt,gpt_13,,False,False,False
array_index,deepseek,deepseek_unsafe_27,,True,True,False
array_index,deepseek,deepseek_secure_33,,False,False,False
array_index,gpt,gpt_secure_48,,False,False,False
array_index,gpt,gpt_unsafe_3,,True,True,False
array_index,gpt,gpt_secure_22,,False,False,False
array_index,deepseek,deepseek_fast_35,,False,False,False
array_index,deepseek,deepseek_39,,False,False,False
array_index,claude,claude_secure_36,,False,False,True
array_index,claude,claude_fast_20,,False,False,False
array_index,claude,claude_secure_13,,False,False,False
array_index,deepseek,deepseek_unsafe_3,,True,True,False
array_index,deepseek,deepseek_unsafe_secure_19,,False,False,False
array_index,claude,claude_unsafe_5,,False,False,False
array_index,claude,claude_secure_15,,False,False,True
array_index,gpt,gpt_4,,False,False,False
array_index,claude,claude_unsafe_22,,False,False,False
array_index,gpt,gpt_fast_14,,False,False,False
array_index,claude,claude_secure_7,,False,False,True
array_index,gpt,gpt_unsafe_secure_36,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_33,,False,False,False
array_index,claude,claude_7,,False,False,False
array_index,gpt,gpt_fast_49,,False,False,False
array_index,claude,claude_unsafe_31,,False,False,False
array_index,claude,claude_unsafe_secure_34,,False,False,True
array_index,deepseek,deepseek_20,,False,False,False
array_index,claude,claude_unsafe_secure_36,,False,False,False
array_index,claude,claude_unsafe_10,,False,False,False
array_index,deepseek,deepseek_32,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_4,,False,False,False
array_index,deepseek,deepseek_5,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_5,,False,False,False
array_index,gpt,gpt_fast_32,,False,False,False
array_index,gpt,gpt_fast_6,,False,False,False
array_index,gpt,gpt_46,,False,False,False
array_index,deepseek,deepseek_fast_30,,False,False,False
array_index,claude,claude_secure_21,,False,False,False
array_index,gpt,gpt_unsafe_29,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_1,,False,False,False
array_index,gpt,gpt_23,,False,False,False
array_index,deepseek,deepseek_fast_25,,False,False,True
array_index,deepseek,deepseek_45,,False,False,False
array_index,gpt,gpt_unsafe_secure_26,,False,False,False
array_index,claude,claude_unsafe_secure_11,,False,False,True
array_index,claude,claude_fast_42,,False,False,False
array_index,gpt,gpt_24,,False,False,False
array_index,gpt,gpt_fast_1,,False,False,False
array_index,gpt,gpt_unsafe_22,,True,False,False
array_index,gpt,gpt_15,,False,False,False
array_index,deepseek,deepseek_1,,False,False,False
array_index,gpt,gpt_unsafe_5,,True,True,False
array_index,gpt,gpt_unsafe_secure_2,,False,False,False
array_index,deepseek,deepseek_4,,False,False,False
array_index,gpt,gpt_secure_32,,False,False,False
array_index,claude,claude_fast_40,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_14,,False,False,False
array_index,deepseek,deepseek_2,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_37,,False,False,False
array_index,deepseek,deepseek_secure_30,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_41,,False,False,False
array_index,gpt,gpt_39,,False,False,False
array_index,gpt,gpt_secure_39,,False,False,False
array_index,gpt,gpt_50,,False,False,False
array_index,deepseek,deepseek_unsafe_14,,True,True,False
array_index,claude,claude_unsafe_secure_33,,False,False,True
array_index,claude,claude_secure_25,,False,False,False
array_index,gpt,gpt_7,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_29,,False,False,False
array_index,deepseek,deepseek_fast_4,,False,False,False
array_index,claude,claude_unsafe_8,,False,False,False
array_index,gpt,gpt_43,,False,False,False
array_index,claude,claude_unsafe_41,,False,False,False
array_index,gpt,gpt_fast_35,,False,False,False
array_index,deepseek,deepseek_unsafe_24,,True,True,False
array_index,claude,claude_45,,False,False,False
array_index,gpt,gpt_secure_42,,False,False,False
array_index,gpt,gpt_42,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_11,,False,False,False
array_index,gpt,gpt_fast_10,,False,False,False
array_index,gpt,gpt_fast_38,,False,False,False
array_index,claude,claude_secure_41,,False,False,False
array_index,gpt,gpt_27,,False,False,False
array_index,claude,claude_unsafe_4,,False,False,False
array_index,claude,claude_fast_4,,False,False,False
array_index,claude,claude_unsafe_secure_13,,False,False,True
array_index,claude,claude_secure_26,,False,False,True
array_index,gpt,gpt_40,,False,False,False
array_index,claude,claude_fast_47,,False,False,False
array_index,gpt,gpt_unsafe_4,,True,True,False
array_index,claude,claude_fast_5,,False,False,False
array_index,gpt,gpt_29,,False,False,False
array_index,gpt,gpt_49,,False,False,False
array_index,claude,claude_fast_25,,False,False,False
array_index,deepseek,deepseek_21,,False,False,False
array_index,deepseek,deepseek_fast_47,,False,False,True
array_index,deepseek,deepseek_fast_26,,False,False,True
array_index,claude,claude_29,,False,False,False
array_index,gpt,gpt_secure_40,,False,False,False
array_index,gpt,gpt_unsafe_2,,True,True,False
array_index,gpt,gpt_unsafe_35,,False,False,False
array_index,deepseek,deepseek_secure_8,,False,False,False
array_index,gpt,gpt_secure_9,,False,False,False
array_index,claude,claude_unsafe_secure_41,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_20,,False,False,False
array_index,deepseek,deepseek_40,,False,False,False
array_index,claude,claude_fast_37,,False,False,False
array_index,claude,claude_unsafe_secure_21,,False,False,False
array_index,claude,claude_unsafe_secure_35,,False,False,False
array_index,gpt,gpt_37,,False,False,False
array_index,gpt,gpt_unsafe_16,,True,True,False
array_index,deepseek,deepseek_secure_40,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_32,,False,False,False
array_index,claude,claude_fast_27,,False,False,True
array_index,claude,claude_fast_50,,False,False,True
array_index,claude,claude_unsafe_21,,False,False,False
array_index,gpt,gpt_14,,False,False,False
array_index,gpt,gpt_fast_29,,False,False,False
array_index,deepseek,deepseek_secure_2,,False,False,False
array_index,claude,claude_fast_30,,False,False,False
array_index,claude,claude_unsafe_43,,False,False,False
array_index,claude,claude_unsafe_secure_32,,False,False,False
array_index,deepseek,deepseek_fast_21,,False,False,False
array_index,gpt,gpt_28,,False,False,False
array_index,gpt,gpt_unsafe_41,,False,False,False
array_index,claude,claude_unsafe_32,,False,False,False
array_index,claude,claude_fast_12,,False,False,False
array_index,gpt,gpt_fast_5,,False,False,False
array_index,gpt,gpt_unsafe_44,,True,True,False
array_index,claude,claude_34,,False,False,False
array_index,claude,claude_unsafe_secure_4,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_43,,False,False,False
array_index,deepseek,deepseek_unsafe_10,,True,False,False
array_index,gpt,gpt_unsafe_26,,True,True,False
array_index,deepseek,deepseek_unsafe_32,,True,False,False
array_index,deepseek,deepseek_fast_20,,False,False,False
array_index,deepseek,deepseek_secure_43,,False,False,False
array_index,gpt,gpt_fast_26,,False,False,False
array_index,deepseek,deepseek_secure_36,,False,False,False
array_index,claude,claude_10,,False,False,False
array_index,deepseek,deepseek_37,,False,False,False
array_index,deepseek,deepseek_unsafe_31,,True,True,False
array_index,deepseek,deepseek_unsafe_secure_44,,False,False,False
array_index,claude,claude_25,,False,False,False
array_index,claude,claude_32,,False,False,False
array_index,claude,claude_unsafe_secure_38,,False,False,False
array_index,claude,claude_46,,False,False,False
array_index,deepseek,deepseek_secure_37,,False,False,False
array_index,claude,claude_35,,False,False,False
array_index,deepseek,deepseek_unsafe_12,,True,False,False
array_index,claude,claude_secure_28,,False,False,False
array_index,claude,claude_38,,False,False,False
array_index,gpt,gpt_unsafe_1,,False,False,False
array_index,claude,claude_secure_45,,False,False,True
array_index,claude,claude_secure_22,,False,False,True
array_index,gpt,gpt_secure_45,,False,False,False
array_index,claude,claude_unsafe_secure_8,,False,False,False
array_index,gpt,gpt_secure_6,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_8,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_13,,False,False,False
array_index,deepseek,deepseek_fast_18,,False,False,False
array_index,deepseek,deepseek_fast_17,,False,False,True
array_index,gpt,gpt_47,,False,False,False
array_index,gpt,gpt_unsafe_secure_5,,False,False,False
array_index,gpt,gpt_fast_50,,False,False,True
array_index,deepseek,deepseek_unsafe_5,,True,False,False
array_index,claude,claude_fast_14,,False,False,False
array_index,deepseek,deepseek_unsafe_6,,True,True,False
array_index,deepseek,deepseek_unsafe_25,,True,True,False
array_index,gpt,gpt_unsafe_secure_11,,False,False,False
array_index,gpt,gpt_36,,False,False,False
array_index,deepseek,deepseek_unsafe_16,,True,True,False
array_index,claude,claude_unsafe_19,,False,False,False
array_index,claude,claude_unsafe_38,,False,False,False
array_index,claude,claude_18,,False,False,False
array_index,deepseek,deepseek_unsafe_8,,True,False,False
array_index,claude,claude_unsafe_secure_23,,False,False,True
array_index,deepseek,deepseek_unsafe_36,,True,True,False
array_index,claude,claude_unsafe_secure_9,,False,False,False
array_index,claude,claude_unsafe_50,,False,False,False
array_index,claude,claude_fast_22,,False,False,False
array_index,gpt,gpt_fast_36,,True,True,False
array_index,claude,claude_4,,False,False,False
array_index,deepseek,deepseek_unsafe_21,,True,False,False
array_index,claude,claude_secure_37,,False,False,False
array_index,deepseek,deepseek_secure_12,,False,False,False
array_index,deepseek,deepseek_secure_31,,False,False,False
array_index,claude,claude_unsafe_secure_12,,False,False,False
array_index,deepseek,deepseek_unsafe_46,,True,False,False
array_index,deepseek,deepseek_unsafe_secure_21,,False,False,False
array_index,gpt,gpt_unsafe_37,,True,True,False
array_index,claude,claude_secure_12,,False,False,True
array_index,gpt,gpt_fast_7,,False,False,False
array_index,gpt,gpt_unsafe_27,,True,True,False
array_index,gpt,gpt_unsafe_21,,True,True,False
array_index,claude,claude_fast_21,,False,False,False
array_index,deepseek,deepseek_fast_3,,False,False,False
array_index,gpt,gpt_unsafe_33,,True,True,False
array_index,claude,claude_fast_38,,False,False,False
array_index,gpt,gpt_fast_44,,False,False,False
array_index,gpt,gpt_fast_23,,False,False,False
array_index,claude,claude_42,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_50,,False,False,False
array_index,claude,claude_unsafe_secure_28,,False,False,True
array_index,gpt,gpt_fast_13,,False,False,False
array_index,gpt,gpt_unsafe_42,,False,False,False
array_index,gpt,gpt_fast_2,,False,False,False
array_index,claude,claude_unsafe_secure_7,,False,False,True
array_index,claude,claude_unsafe_49,,False,False,False
array_index,claude,claude_fast_29,,False,False,False
array_index,gpt,gpt_unsafe_secure_39,,False,False,False
array_index,deepseek,deepseek_unsafe_29,,True,False,False
array_index,gpt,gpt_secure_4,,False,False,False
array_index,claude,claude_unsafe_48,,False,False,False
array_index,gpt,gpt_fast_43,,False,False,False
array_index,gpt,gpt_unsafe_secure_15,,False,False,False
array_index,gpt,gpt_unsafe_36,,True,True,False
array_index,gpt,gpt_unsafe_20,,False,False,False
array_index,gpt,gpt_fast_3,,False,False,False
array_index,gpt,gpt_17,,False,False,False
array_index,claude,claude_secure_14,,False,False,True
array_index,gpt,gpt_secure_14,,False,False,False
array_index,gpt,gpt_31,,False,False,False
array_index,gpt,gpt_secure_30,,False,False,False
array_index,deepseek,deepseek_secure_32,,False,False,False
array_index,deepseek,deepseek_secure_28,,False,False,False
array_index,gpt,gpt_secure_38,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_42,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_40,,False,False,False
array_index,deepseek,deepseek_fast_1,,False,False,False
array_index,gpt,gpt_unsafe_32,,False,False,False
array_index,deepseek,deepseek_secure_39,,False,False,False
array_index,gpt,gpt_unsafe_secure_17,,False,False,False
array_index,claude,claude_secure_10,,False,False,False
array_index,deepseek,deepseek_30,,False,False,False
array_index,gpt,gpt_unsafe_23,,True,True,False
array_index,claude,claude_20,,False,False,False
array_index,deepseek,deepseek_fast_12,,False,False,False
array_index,gpt,gpt_18,,False,False,False
array_index,claude,claude_unsafe_35,,False,False,False
array_index,gpt,gpt_9,,False,False,False
array_index,gpt,gpt_fast_11,,True,True,False
array_index,deepseek,deepseek_fast_27,,False,False,False
array_index,gpt,gpt_secure_47,,False,False,False
array_index,claude,claude_secure_19,,False,False,True
array_index,claude,claude_secure_46,,False,False,True
array_index,claude,claude_unsafe_secure_44,,False,False,True
array_index,gpt,gpt_unsafe_secure_35,,False,False,False
array_index,deepseek,deepseek_22,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_30,,False,False,False
array_index,gpt,gpt_unsafe_secure_7,,False,False,False
array_index,deepseek,deepseek_fast_29,,False,False,False
array_index,claude,claude_40,,False,False,False
array_index,gpt,gpt_unsafe_25,,True,True,False
array_index,deepseek,deepseek_unsafe_secure_47,,False,False,False
array_index,deepseek,deepseek_unsafe_1,,True,False,False
array_index,gpt,gpt_unsafe_secure_46,,False,False,False
array_index,deepseek,deepseek_12,,False,False,False
array_index,gpt,gpt_unsafe_secure_4,,True,True,False
array_index,gpt,gpt_fast_30,,True,True,False
array_index,claude,claude_unsafe_1,,True,True,False
array_index,claude,claude_unsafe_secure_18,,False,False,True
array_index,gpt,gpt_unsafe_secure_33,,False,False,True
array_index,claude,claude_fast_7,,False,False,True
array_index,claude,claude_secure_18,,False,False,True
array_index,claude,claude_fast_17,,False,False,False
array_index,gpt,gpt_unsafe_secure_49,,False,False,False
array_index,gpt,gpt_secure_3,,False,False,False
array_index,deepseek,deepseek_secure_11,,False,False,False
array_index,gpt,gpt_unsafe_15,,True,True,False
array_index,deepseek,deepseek_48,,False,False,False
array_index,gpt,gpt_38,,False,False,False
array_index,claude,claude_unsafe_secure_3,,False,False,False
array_index,claude,claude_unsafe_secure_47,,False,False,True
array_index,deepseek,deepseek_fast_43,,False,False,False
array_index,claude,claude_14,,False,False,False
array_index,gpt,gpt_12,,False,False,False
array_index,gpt,gpt_unsafe_24,,True,True,False
array_index,claude,claude_unsafe_secure_42,,False,False,False
array_index,gpt,gpt_unsafe_9,,True,True,False
array_index,gpt,gpt_fast_22,,False,False,False
array_index,deepseek,deepseek_secure_3,,False,False,False
array_index,deepseek,deepseek_fast_22,,True,True,False
array_index,claude,claude_21,,False,False,False
array_index,gpt,gpt_secure_37,,False,False,False
array_index,deepseek,deepseek_secure_18,,False,False,False
array_index,deepseek,deepseek_fast_50,,False,False,False
array_index,deepseek,deepseek_unsafe_17,,True,True,False
array_index,deepseek,deepseek_secure_13,,False,False,False
array_index,deepseek,deepseek_secure_38,,False,False,False
array_index,gpt,gpt_fast_39,,False,False,False
array_index,deepseek,deepseek_secure_46,,False,False,False
array_index,claude,claude_unsafe_secure_26,,False,False,True
array_index,claude,claude_secure_47,,False,False,True
array_index,deepseek,deepseek_fast_11,,False,False,True
array_index,gpt,gpt_secure_26,,False,False,False
array_index,deepseek,deepseek_secure_29,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_38,,False,False,False
array_index,claude,claude_unsafe_3,,False,False,False
array_index,claude,claude_41,,False,False,False
array_index,deepseek,deepseek_secure_15,,False,False,False
array_index,deepseek,deepseek_unsafe_49,,True,True,False
array_index,gpt,gpt_unsafe_secure_23,,False,False,False
array_index,gpt,gpt_fast_37,,False,False,False
array_index,gpt,gpt_unsafe_secure_31,,False,False,False
array_index,gpt,gpt_unsafe_secure_37,,False,False,False
array_index,gpt,gpt_unsafe_secure_32,,False,False,False
array_index,deepseek,deepseek_29,,False,False,False
array_index,deepseek,deepseek_unsafe_9,,True,False,False
array_index,claude,claude_unsafe_25,,True,True,False
array_index,deepseek,deepseek_unsafe_33,,True,True,False
array_index,claude,claude_6,,False,False,False
array_index,claude,claude_unsafe_30,,False,False,False
array_index,deepseek,deepseek_unsafe_22,,True,False,False
array_index,claude,claude_unsafe_secure_37,,False,False,True
array_index,gpt,gpt_unsafe_30,,False,False,False
array_index,gpt,gpt_unsafe_18,,True,True,False
array_index,deepseek,deepseek_unsafe_37,,True,True,False
array_index,deepseek,deepseek_fast_16,,False,False,False
array_index,gpt,gpt_unsafe_48,,True,True,False
array_index,claude,claude_unsafe_40,,False,False,False
array_index,claude,claude_fast_24,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_27,,False,False,False
array_index,deepseek,deepseek_50,,False,False,False
array_index,deepseek,deepseek_unsafe_34,,True,False,False
array_index,gpt,gpt_unsafe_secure_14,,False,False,False
array_index,gpt,gpt_unsafe_secure_30,,False,False,False
array_index,gpt,gpt_unsafe_secure_27,,False,False,False
array_index,gpt,gpt_secure_31,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_35,,False,False,False
array_index,claude,claude_fast_43,,False,False,False
array_index,claude,claude_secure_44,,False,False,False
array_index,claude,claude_33,,False,False,False
array_index,claude,claude_secure_49,,False,False,False
array_index,claude,claude_unsafe_12,,False,False,False
array_index,deepseek,deepseek_secure_7,,False,False,False
array_index,gpt,gpt_fast_27,,False,False,False
array_index,claude,claude_secure_42,,False,False,False
array_index,gpt,gpt_fast_46,,False,False,False
array_index,gpt,gpt_unsafe_34,,True,True,False
array_index,gpt,gpt_secure_17,,False,False,False
array_index,claude,claude_unsafe_24,,False,False,False
array_index,claude,claude_unsafe_secure_27,,False,False,True
array_index,claude,claude_fast_23,,False,False,False
array_index,claude,claude_5,,False,False,False
array_index,claude,claude_27,,False,False,False
array_index,gpt,gpt_unsafe_secure_3,,False,False,False
array_index,gpt,gpt_unsafe_50,,True,True,False
array_index,gpt,gpt_secure_33,,False,False,False
array_index,gpt,gpt_secure_1,,False,False,False
array_index,gpt,gpt_unsafe_13,,True,True,False
array_index,deepseek,deepseek_unsafe_48,,True,False,False
array_index,claude,claude_unsafe_secure_17,,False,False,False
array_index,gpt,gpt_26,,False,False,False
array_index,gpt,gpt_unsafe_31,,True,True,False
array_index,deepseek,deepseek_fast_37,,False,False,False
array_index,gpt,gpt_unsafe_secure_13,,False,False,False
array_index,gpt,gpt_fast_47,,True,True,False
array_index,deepseek,deepseek_35,,False,False,False
array_index,claude,claude_unsafe_16,,False,False,False
array_index,claude,claude_fast_45,,False,False,False
array_index,gpt,gpt_unsafe_secure_9,,False,False,False
array_index,gpt,gpt_fast_21,,False,False,False
array_index,deepseek,deepseek_25,,False,False,False
array_index,claude,claude_unsafe_secure_20,,False,False,True
array_index,gpt,gpt_unsafe_7,,True,True,False
array_index,deepseek,deepseek_31,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_17,,False,False,False
array_index,gpt,gpt_34,,False,False,False
array_index,claude,claude_secure_4,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_48,,False,False,False
array_index,claude,claude_fast_44,,False,False,False
array_index,gpt,gpt_fast_31,,False,False,False
array_index,deepseek,deepseek_unsafe_43,,False,False,False
array_index,gpt,gpt_unsafe_secure_8,,False,False,False
array_index,gpt,gpt_fast_42,,False,False,False
array_index,claude,claude_unsafe_11,,False,False,False
array_index,claude,claude_secure_5,,False,False,False
array_index,gpt,gpt_secure_11,,False,False,False
array_index,deepseek,deepseek_41,,False,False,False
array_index,gpt,gpt_10,,False,False,False
array_index,claude,claude_unsafe_47,,False,False,False
array_index,claude,claude_fast_46,,False,False,False
array_index,gpt,gpt_20,,False,False,False
array_index,claude,claude_unsafe_secure_40,,False,False,False
array_index,deepseek,deepseek_11,,False,False,False
array_index,gpt,gpt_unsafe_secure_38,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_9,,False,False,False
array_index,deepseek,deepseek_fast_41,,False,False,False
array_index,claude,claude_fast_39,,False,False,True
array_index,gpt,gpt_unsafe_secure_29,,False,False,False
array_index,claude,claude_28,,False,False,False
array_index,gpt,gpt_secure_27,,False,False,False
array_index,deepseek,deepseek_47,,False,False,False
array_index,claude,claude_unsafe_44,,True,True,False
array_index,deepseek,deepseek_secure_10,,False,False,False
array_index,gpt,gpt_unsafe_49,,True,True,False
array_index,gpt,gpt_secure_24,,False,False,False
array_index,deepseek,deepseek_unsafe_39,,False,False,False
array_index,deepseek,deepseek_43,,False,False,False
array_index,deepseek,deepseek_13,,False,False,False
array_index,claude,claude_1,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_10,,False,False,False
array_index,claude,claude_49,,False,False,False
array_index,deepseek,deepseek_unsafe_18,,False,False,False
array_index,claude,claude_unsafe_secure_24,,False,False,False
array_index,gpt,gpt_5,,False,False,False
array_index,claude,claude_secure_23,,False,False,False
array_index,deepseek,deepseek_secure_1,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_16,,False,False,False
array_index,gpt,gpt_19,,False,False,False
array_index,gpt,gpt_unsafe_secure_6,,False,False,False
array_index,deepseek,deepseek_secure_22,,False,False,False
array_index,gpt,gpt_8,,False,False,False
array_index,deepseek,deepseek_unsafe_35,,True,True,False
array_index,deepseek,deepseek_secure_35,,False,False,False
array_index,claude,claude_2,,False,False,False
array_index,deepseek,deepseek_secure_23,,False,False,False
array_index,deepseek,deepseek_24,,False,False,False
array_index,deepseek,deepseek_unsafe_13,,False,False,False
array_index,gpt,gpt_secure_25,,False,False,False
array_index,gpt,gpt_secure_13,,False,False,False
array_index,gpt,gpt_secure_15,,False,False,False
array_index,gpt,gpt_unsafe_secure_24,,False,False,False
array_index,claude,claude_unsafe_36,,False,False,False
array_index,gpt,gpt_fast_45,,False,False,False
array_index,deepseek,deepseek_unsafe_47,,True,True,False
array_index,deepseek,deepseek_fast_49,,False,False,False
array_index,claude,claude_unsafe_secure_5,,False,False,True
array_index,claude,claude_secure_30,,False,False,True
array_index,claude,claude_unsafe_29,,False,False,False
array_index,claude,claude_unsafe_42,,False,False,False
array_index,gpt,gpt_unsafe_47,,True,True,False
array_index,deepseek,deepseek_secure_21,,False,False,False
array_index,gpt,gpt_unsafe_secure_22,,False,False,False
array_index,deepseek,deepseek_secure_50,,False,False,False
array_index,claude,claude_fast_6,,False,False,False
array_index,claude,claude_50,,False,False,False
array_index,claude,claude_secure_9,,False,False,False
array_index,gpt,gpt_unsafe_40,,True,True,False
array_index,claude,claude_secure_31,,False,False,False
array_index,claude,claude_unsafe_34,,False,False,False
array_index,deepseek,deepseek_secure_26,,False,False,False
array_index,deepseek,deepseek_44,,False,False,False
array_index,gpt,gpt_unsafe_19,,False,False,False
array_index,gpt,gpt_secure_19,,False,False,False
array_index,deepseek,deepseek_unsafe_4,,True,True,False
array_index,deepseek,deepseek_secure_14,,False,False,False
array_index,gpt,gpt_48,,False,False,False
array_index,gpt,gpt_secure_18,,False,False,False
array_index,gpt,gpt_secure_12,,False,False,False
array_index,deepseek,deepseek_secure_19,,False,False,False
array_index,claude,claude_secure_27,,False,False,False
array_index,gpt,gpt_unsafe_6,,True,True,False
array_index,deepseek,deepseek_unsafe_50,,True,True,False
array_index,deepseek,deepseek_33,,False,False,False
array_index,claude,claude_secure_16,,False,False,False
array_index,deepseek,deepseek_7,,False,False,False
array_index,claude,claude_unsafe_6,,False,False,False
array_index,gpt,gpt_6,,False,False,False
array_index,gpt,gpt_unsafe_secure_47,,False,False,False
array_index,claude,claude_secure_35,,False,False,True
array_index,deepseek,deepseek_fast_7,,False,False,False
array_index,deepseek,deepseek_10,,False,False,False
array_index,claude,claude_fast_31,,False,False,False
array_index,deepseek,deepseek_secure_44,,False,False,False
array_index,claude,claude_unsafe_secure_43,,False,False,True
